[27/Jul/2023:16:18:42 +0000] 404 - GET http adduser.myapp.com "/adduser" [Client 172.21.0.1] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:16:20:35 +0000] 403 - GET http adduser.myapp.com "/?rd=http://dockerhost.company.local:8089/;" [Client 172.21.0.1] [Length 182] [Gzip 3.23] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://auth.myapp.com/"
[27/Jul/2023:16:22:09 +0000] 404 - GET http adduser.myapp.com "/authelia" [Client 172.21.0.1] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:16:28:25 +0000] 200 - GET http add.myapp.com "/" [Client 172.21.0.1] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://localhost:81/"
[27/Jul/2023:16:48:35 +0000] 404 - GET http adduser.myapp.com "/auth" [Client 172.21.0.1] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:16:49:27 +0000] 403 - GET http adduser.myapp.com "/?rd=http://dockerhost.company.local:8089/;" [Client 172.21.0.1] [Length 182] [Gzip 3.23] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:16:50:21 +0000] 400 - GET http localhost "/" [Client 172.21.0.1] [Length 654] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.183" "-"
[27/Jul/2023:16:50:32 +0000] 400 - GET http localhost "/" [Client 172.21.0.1] [Length 654] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:16:50:32 +0000] 400 - GET http localhost "/favicon.ico" [Client 172.21.0.1] [Length 654] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://localhost:443/"
[27/Jul/2023:16:54:36 +0000] 404 - GET http adduser.myapp.com "/authelia" [Client 172.21.0.1] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:17:03:52 +0000] 304 - GET http adduser.myapp.com "/" [Client 172.21.0.1] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:17:06:40 +0000] 404 - GET http adduser.myapp.com "/auth" [Client 172.21.0.1] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:17:06:55 +0000] 403 - GET http adduser.myapp.com "/?rd=http://dockerhost.company.local:8089/;" [Client 172.21.0.1] [Length 182] [Gzip 3.23] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://auth.myapp.com/"
[27/Jul/2023:17:07:05 +0000] 403 - GET http adduser.myapp.com "/?rd=http://dockerhost.company.local:8089/;" [Client 172.21.0.1] [Length 182] [Gzip 3.23] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://auth.myapp.com/"
[27/Jul/2023:17:07:30 +0000] 403 - GET http adduser.myapp.com "/?rd=http://dockerhost.company.local:8089/;" [Client 172.21.0.1] [Length 182] [Gzip 3.23] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://auth.myapp.com/"
[27/Jul/2023:17:07:30 +0000] 403 - GET http adduser.myapp.com "/?rd=http://dockerhost.company.local:8089/;" [Client 172.21.0.1] [Length 182] [Gzip 3.23] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://auth.myapp.com/"
[27/Jul/2023:17:07:30 +0000] 403 - GET http adduser.myapp.com "/?rd=http://dockerhost.company.local:8089/;" [Client 172.21.0.1] [Length 182] [Gzip 3.23] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://auth.myapp.com/"
[27/Jul/2023:17:07:31 +0000] 403 - GET http adduser.myapp.com "/?rd=http://dockerhost.company.local:8089/;" [Client 172.21.0.1] [Length 182] [Gzip 3.23] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://auth.myapp.com/"
